ASV_ID	CaS3_S35_L001	CaS4_S47_L001	TgS1_S11_L001	TgS2_S23_L001	UpS5_S59_L001
ASV834	0	38	0	0	0
ASV835	0	38	0	0	0
ASV836	0	38	0	0	0
ASV837	0	38	0	0	0
ASV838	0	38	0	0	0
ASV839	0	38	0	0	0
ASV840	0	25	0	13	0
ASV841	0	0	38	0	0
ASV842	0	0	38	0	0
ASV843	0	0	38	0	0
ASV844	0	0	38	0	0
ASV845	0	0	38	0	0
ASV846	0	0	38	0	0
ASV847	0	0	0	38	0
ASV848	0	0	0	38	0
ASV849	0	0	0	24	14
ASV850	0	0	0	0	38
ASV851	0	0	0	0	38
ASV852	0	0	0	0	38
ASV853	0	0	0	0	38
ASV854	0	0	0	0	38
ASV855	0	0	0	0	38
ASV856	0	0	0	0	38
ASV857	0	0	0	0	38
ASV858	0	0	0	0	38
ASV859	0	0	0	0	38
ASV860	0	0	0	0	38
ASV861	0	0	0	0	38
ASV862	37	0	0	0	0
ASV863	37	0	0	0	0
ASV864	37	0	0	0	0
ASV865	37	0	0	0	0
ASV866	37	0	0	0	0
ASV867	37	0	0	0	0
ASV868	37	0	0	0	0
ASV869	0	37	0	0	0
ASV870	0	37	0	0	0
ASV871	0	37	0	0	0
ASV872	0	37	0	0	0
ASV873	0	37	0	0	0
ASV874	0	37	0	0	0
ASV875	0	37	0	0	0
ASV876	0	37	0	0	0
ASV877	0	37	0	0	0
ASV878	0	0	37	0	0
ASV879	0	0	37	0	0
ASV880	0	0	37	0	0
ASV881	0	0	37	0	0
ASV882	0	0	0	37	0
ASV883	0	0	0	0	37
ASV884	0	0	0	0	37
ASV885	0	0	0	0	37
ASV886	0	0	0	0	37
ASV887	0	0	0	0	37
ASV888	0	0	0	0	37
ASV889	0	0	0	0	37
ASV890	0	0	0	0	37
ASV891	0	0	0	0	37
ASV892	36	0	0	0	0
ASV893	36	0	0	0	0
ASV894	36	0	0	0	0
ASV895	36	0	0	0	0
ASV896	36	0	0	0	0
ASV897	27	0	0	9	0
ASV898	24	12	0	0	0
ASV899	15	0	21	0	0
ASV900	13	10	13	0	0
ASV901	0	36	0	0	0
ASV902	0	36	0	0	0
ASV903	0	36	0	0	0
ASV904	0	36	0	0	0
ASV905	0	36	0	0	0
ASV906	0	36	0	0	0
ASV907	0	8	28	0	0
ASV908	0	0	36	0	0
