ASV_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV169	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Dinghuibacter	uncultured bacterium
ASV170	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	uncultured bacterium
ASV171	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	uncultured	uncultured bacterium
ASV172	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Propionivibrio	uncultured bacterium
ASV173	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	NA	uncultured	uncultured bacterium
ASV174	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	UTCFX1	uncultured bacterium
ASV175	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	uncultured bacterium
ASV176	Bacteria	Firmicutes	Bacilli	Alicyclobacillales	Alicyclobacillaceae	Tumebacillus	uncultured bacterium
ASV177	Bacteria	Actinobacteriota	Actinobacteria	Micromonosporales	Micromonosporaceae	Phytohabitans	uncultured bacterium
ASV178	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	NA	uncultured	uncultured bacterium
ASV179	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas	uncultured bacterium
ASV180	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	B1-7BS	uncultured	uncultured bacterium
ASV181	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	IS-44	uncultured bacterium
ASV182	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	NA	uncultured	uncultured bacterium
ASV183	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	uncultured	uncultured bacterium
ASV184	Bacteria	Bacteroidota	Ignavibacteria	SJA-28	NA	uncultured	uncultured bacterium
ASV185	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Luteitalea	uncultured bacterium
ASV186	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	uncultured bacterium
ASV187	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4 lineage	uncultured bacterium
